"Titular","Fuente","Posteado","Descripcion","Link"
"Buy Oil and Energy Stocks to Hedge the Suez Canal Bottleneck, J.P. Morgan Says","Barrons.com","2 hours ago","If you thought last year’s toilet paper shortage was bad, just wait for higher shipping costs,...","https://www.barrons.com/articles/buy-oil-energy-stocks-hedge-suez-canal-bottleneck-51616703647?siteid=yhoof2&yptr=yahoo"
"Highwood Oil Company Ltd. Announces Completion of Successful Disposition Program, Acquisition of...","CNW Group Test via Yahoo Finance","19 minutes ago","Highwood Oil Company Ltd (TSXV: HOCL) (""Highwood"" or the ""Company"") is pleased to provide the below...","https://finance.yahoo.com/news/highwood-oil-company-ltd-announces-214300801.html"
"Oil Prices Extend Sell-Off Even As Suez Canal Gridlock Could Last Weeks","Investor's Business Daily","2 hours ago","Oil prices fell Thursday as Covid-19 lockdowns in Europe outweighed a large container ship blocking ...","https://www.investors.com/news/oil-prices-suez-canal-blocked-new-data-add-oversupply-worries/?src=A00220&yptr=yahoo"
"Oil Up 4% and World Trade Grinding to a Halt Due to ‘Sideways’ Ship in Suez Canal","GOBankingRates via Yahoo Finance","1 day ago","A massive 400-meter — 1,312-ft. — cargo container ship, the Ever Given, beached sideways and is...","https://finance.yahoo.com/news/oil-4-world-trade-grinding-173333703.html"
"10 Best Oil and Energy Stocks To Buy Now","Insider Monkey via Yahoo Finance","1 day ago","In this article we will take a look at the 10 best oil and energy stocks to buy now. You can skip our detailed analysis of the oil and energy industry’s...","https://finance.yahoo.com/news/10-best-oil-energy-stocks-192552983.html"
"Crude Oil Price Forecast – Crude Oil Continues to Chop Back and Forth","FX Empire via Yahoo Finance","6 hours ago","The West Texas Intermediate Crude Oil market has fallen again during the trading session on Thursday...","https://finance.yahoo.com/news/crude-oil-price-forecast-crude-155031664.html"
"Oil Bounces Back as U.S. Supply Report Hints at Demand Revival","Bloomberg via Yahoo Finance","1 day ago","Oil surged the most since November as signs of stronger gasoline demand in the U.S. eased concerns...","https://finance.yahoo.com/news/oil-extends-losses-rising-u-234416011.html"
"Oil gains more than $3/bbl after Suez Canal ship grounding","Reuters via Yahoo Finance","2 days ago","Oil prices jumped about 6% on Wednesday after a ship ran aground in the Suez Canal, and worries that...","https://finance.yahoo.com/news/oil-rises-bargain-hunting-oversupply-014808430.html"
"Why the blockage of the Suez Canal matters for oil prices","MarketWatch","1 day ago","The importance of the Suez Canal in Egypt was laid bare for all to see on Wednesday, as oil prices...","https://www.marketwatch.com/story/why-the-blockage-of-the-suez-canal-matters-for-oil-prices-11616601880?siteid=yhoof2&yptr=yahoo"
"Imperial Oil (IMO) Soars 5.6%: Is Further Upside Left in the Stock?","Zacks via Yahoo Finance","9 hours ago","Imperial Oil (IMO) shares ended the last trading session 5.6% higher at $24.03. The jump came on an...","https://finance.yahoo.com/news/imperial-oil-imo-soars-5-124612004.html"
"Oil falls as European lockdowns douse recovery hopes","CNBC","4 days ago","Oil prices resumed their decline on Monday, falling around 1% as worries about a drop in demand for fuel products in the wake of yet more European...","https://www.cnbc.com/2021/03/22/oil-markets-europe-lockdowns.html"
"Oil Eases On Suez Canal Hopes, Gold Ranges Quietly | Investing.com","Investing.com","7 hours ago","Commodities Analysis by MarketPulse (Jeffrey Halley) covering: XAU/USD, US Dollar Index Futures,...","https://www.investing.com/analysis/oil-eases-on-suez-canal-hopes-gold-ranges-quietly-200569424"
"Oil Selloff: The Volatility Is Probably Just Beginning","Investing.com","6 days ago","Oil bears think a barrel of US crude will hit the low $50 levels next, and UK Brent under $60, to...","https://za.investing.com/analysis/oil-selloff-the-volatility-is-probably-just-beginning-200457513"
"Oil Manages To Buck The Upward Trend | Investing.com","Investing.com","8 hours ago","The tanker blocking the Suez Canal provided much-needed help foroil, stopping a sell-off and restoring growth. On the tech analysis side, oil received...","https://www.investing.com/analysis/oil-manages-to-buck-the-upward-trend-200569420"
"Oil jumps 5pc on Suez canal congestion","Daily Telegraph","1 day ago","Oil prices bounced back on Tuesday, partly due to the blockage of the Suez Canal, a key transit route for the commodity. Brent crude shot up more than...","https://www.telegraph.co.uk/business/2021/03/24/markets-live-latest-inflation-coronavirus-news-pound-euro-ftse/"
"Oil lower on demand outlook, Gold’s wild ride - MarketPulse","MarketPulse","6 hours ago","Crude prices are lower as the short-term demand outlook continues to get downgraded as many European...","https://www.marketpulse.com/20210325/oil-lower-demand-outlook-golds-wild-ride/"
"Oil falls as European coronavirus curbs point to demand hit","CNBC","3 days ago","Oil prices fell 1% on Tuesday, hit by concerns that new pandemic curbs and slow vaccine rollouts in...","https://www.cnbc.com/2021/03/23/oil-markets-europe-coronavirus-curbs.html"
"Oil Slump Deepens as Europe Faces Pandemic Lockdowns","US News & World Report","7 days ago","Oil prices fell on Friday, extending losses for a sixth day as a new wave of COVID-19 infections wash across Europe, spurring new lockdowns and dampening...","https://money.usnews.com/investing/news/articles/2021-03-18/oil-slump-deepens-as-europe-faces-pandemic-lockdowns"
"Oil prices slide as coronavirus lockdown concerns outweigh Suez Canal disruptions","CNBC","19 hours ago","U.S. West Texas Intermediate (WTI) crude futures dropped by $1.27, or 2.1%, to $59.91 a barrel,...","https://www.cnbc.com/2021/03/25/oil-markets-coronavirus-suez-canal.html"
"Oil Struggling to Regain Mojo After Worst Week Since October By Investing.com","Investing.com","4 days ago","Oil is struggling to regain its strong upside of the past four months as new Covid-19 lockdowns in...","https://www.investing.com/news/commodities-news/oil-struggling-to-regain-mojo-after-worst-week-since-october-2453693"
